transmission:T: -Re(T) vs lambda

lambda(nm), -Re(T)
1803.87, 0.592091
1804.87, 0.592423
1805.87, 0.592762
1806.87, 0.59311
1807.87, 0.59347
1808.87, 0.593844
1809.87, 0.594231
1810.87, 0.594631
1811.87, 0.595042
1812.88, 0.595461
1813.88, 0.595884
1814.88, 0.596308
1815.88, 0.596728
1816.88, 0.597141
1817.88, 0.597544
1818.88, 0.597933
1819.88, 0.598309
1820.88, 0.598669
1821.88, 0.599016
1822.88, 0.59935
1823.88, 0.599674
1824.88, 0.599993
1825.88, 0.600308
1826.88, 0.600625
1827.89, 0.600946
1828.89, 0.601276
1829.89, 0.601617
1830.89, 0.60197
1831.89, 0.602336
1832.89, 0.602715
1833.89, 0.603106
1834.89, 0.603506
1835.89, 0.603912
1836.89, 0.604321
1837.89, 0.604729
1838.89, 0.605133
1839.89, 0.605528
1840.89, 0.605912
1841.89, 0.606284
1842.9, 0.606641
1843.9, 0.606985
1844.9, 0.607315
1845.9, 0.607633
1846.9, 0.607943
1847.9, 0.608247
1848.9, 0.608549
1849.9, 0.608852
1850.9, 0.60916
1851.9, 0.609477
1852.9, 0.609804
1853.9, 0.610143
1854.9, 0.610494
1855.9, 0.610859
1856.9, 0.611234
1857.91, 0.611619
1858.91, 0.61201
1859.91, 0.612405
1860.91, 0.612799
1861.91, 0.61319
1862.91, 0.613573
1863.91, 0.613947
1864.91, 0.614308
1865.91, 0.614656
1866.91, 0.614991
1867.91, 0.615312
1868.91, 0.615622
1869.91, 0.615921
1870.91, 0.616214
1871.91, 0.616504
1872.92, 0.616793
1873.92, 0.617085
1874.92, 0.617383
1875.92, 0.617691
1876.92, 0.618009
1877.92, 0.61834
1878.92, 0.618683
1879.92, 0.619037
1880.92, 0.619402
1881.92, 0.619775
1882.92, 0.620154
1883.92, 0.620535
1884.92, 0.620915
1885.92, 0.621291
1886.92, 0.621659
1887.93, 0.622017
1888.93, 0.622364
1889.93, 0.622698
1890.93, 0.623019
1891.93, 0.623327
1892.93, 0.623623
1893.93, 0.62391
1894.93, 0.624191
1895.93, 0.624468
1896.93, 0.624744
1897.93, 0.625023
1898.93, 0.625308
1899.93, 0.625601
1900.93, 0.625904
1901.93, 0.626219
1902.94, 0.626546
1903.94, 0.626884
1904.94, 0.627233
1905.94, 0.627591
1906.94, 0.627955
1907.94, 0.628322
1908.94, 0.628689
1909.94, 0.629054
1910.94, 0.629413
1911.94, 0.629763
1912.94, 0.630103
1913.94, 0.630431
1914.94, 0.630746
1915.94, 0.631049
1916.94, 0.631339
1917.95, 0.63162
1918.95, 0.631892
1919.95, 0.632159
1920.95, 0.632423
1921.95, 0.632688
1922.95, 0.632956
1923.95, 0.633231
1924.95, 0.633513
1925.95, 0.633806
1926.95, 0.634111
1927.95, 0.634426
1928.95, 0.634753
1929.95, 0.63509
1930.95, 0.635435
1931.95, 0.635786
1932.96, 0.636141
1933.96, 0.636495
1934.96, 0.636847
1935.96, 0.637194
1936.96, 0.637533
1937.96, 0.637862
1938.96, 0.63818
1939.96, 0.638485
1940.96, 0.638778
1941.96, 0.63906
1942.96, 0.639331
1943.96, 0.639594
1944.96, 0.639851
1945.96, 0.640104
1946.96, 0.640357
1947.97, 0.640612
1948.97, 0.640872
1949.97, 0.641139
1950.97, 0.641415
1951.97, 0.641702
1952.97, 0.641999
1953.97, 0.642308
1954.97, 0.642627
1955.97, 0.642955
1956.97, 0.643291
1957.97, 0.643631
1958.97, 0.643974
1959.97, 0.644316
1960.97, 0.644654
1961.97, 0.644987
1962.98, 0.645312
1963.98, 0.645627
1964.98, 0.645931
1965.98, 0.646223
1966.98, 0.646504
1967.98, 0.646773
1968.98, 0.647033
1969.98, 0.647284
1970.98, 0.64753
1971.98, 0.647772
1972.98, 0.648014
1973.98, 0.648257
1974.98, 0.648505
1975.98, 0.64876
1976.98, 0.649024
1977.99, 0.649297
1978.99, 0.649581
1979.99, 0.649876
1980.99, 0.650181
1981.99, 0.650495
1982.99, 0.650817
1983.99, 0.651144
1984.99, 0.651474
1985.99, 0.651805
1986.99, 0.652134
1987.99, 0.652458
1988.99, 0.652775
1989.99, 0.653084
1990.99, 0.653382
1991.99, 0.65367
1993, 0.653946
1994, 0.654211
1995, 0.654465
1996, 0.654711
1997, 0.65495
1998, 0.655183
1999, 0.655415
2000, 0.655646


