transmission:T: -Re(T) vs lambda

lambda(nm), -Re(T)
817.211, 0.411473
818.212, 0.405678
819.213, 0.401965
820.213, 0.397137
821.214, 0.382958
822.215, 0.354537
823.215, 0.316466
824.216, 0.279177
825.217, 0.250105
826.217, 0.230016
827.218, 0.217144
828.219, 0.211787
829.219, 0.215028
830.22, 0.224583
831.221, 0.234802
832.221, 0.241514
833.222, 0.24542
834.223, 0.249787
835.223, 0.25584
836.224, 0.261807
837.225, 0.266028
838.225, 0.269298
839.226, 0.273406
840.227, 0.278467
841.227, 0.282939
842.228, 0.28604
843.229, 0.288889
844.229, 0.292821
845.23, 0.297443
846.231, 0.301216
847.231, 0.303687
848.232, 0.306159
849.233, 0.309899
850.233, 0.314374
851.234, 0.317951
852.235, 0.320085
853.235, 0.32206
854.236, 0.325334
855.237, 0.329692
856.237, 0.333553
857.238, 0.335954
858.239, 0.337652
859.239, 0.340089
860.24, 0.343668
861.241, 0.347458
862.241, 0.350483
863.242, 0.352819
864.243, 0.355251
865.243, 0.358153
866.244, 0.361115
867.245, 0.363669
868.245, 0.365993
869.246, 0.368665
870.247, 0.371844
871.247, 0.375012
872.248, 0.377599
873.249, 0.379677
874.249, 0.381831
875.25, 0.384435
876.251, 0.38724
877.252, 0.389762
878.252, 0.391915
879.253, 0.394087
880.254, 0.396616
881.254, 0.39934
882.255, 0.401798
883.256, 0.403787
884.256, 0.405585
885.257, 0.407593
886.258, 0.409846
887.258, 0.412002
888.259, 0.413778
889.26, 0.415289
890.26, 0.416889
891.261, 0.418735
892.262, 0.420597
893.262, 0.42214
894.263, 0.423307
895.264, 0.424361
896.264, 0.425555
897.265, 0.426824
898.266, 0.427874
899.266, 0.428515
900.267, 0.428874
901.268, 0.42922
902.268, 0.429645
903.269, 0.429958
904.27, 0.429902
905.27, 0.429441
906.271, 0.428779
907.272, 0.428113
908.272, 0.427407
909.273, 0.426434
910.274, 0.42503
911.274, 0.423265
912.275, 0.421347
913.276, 0.419381
914.276, 0.417249
915.277, 0.414738
916.278, 0.411767
917.278, 0.408456
918.279, 0.404979
919.28, 0.401364
920.28, 0.397464
921.281, 0.393113
922.282, 0.3883
923.282, 0.383176
924.283, 0.377885
925.284, 0.372423
926.284, 0.366652
927.285, 0.360462
928.286, 0.353898
929.286, 0.34712
930.287, 0.340247
931.288, 0.333251
932.288, 0.326012
933.289, 0.318456
934.29, 0.310652
935.29, 0.302748
936.291, 0.294838
937.292, 0.286882
938.292, 0.278772
939.293, 0.270458
940.294, 0.262019
941.294, 0.253596
942.295, 0.245273
943.296, 0.237012
944.296, 0.228721
945.297, 0.220367
946.298, 0.212034
947.298, 0.20386
948.299, 0.195924
949.3, 0.188196
950.3, 0.180588
951.301, 0.173066
952.302, 0.165702
953.302, 0.158619
954.303, 0.151893
955.304, 0.14549
956.304, 0.139316
957.305, 0.133317
958.306, 0.127535
959.306, 0.122076
960.307, 0.117011
961.308, 0.112312
962.308, 0.107878
963.309, 0.103631
964.31, 0.0995818
965.31, 0.0958177
966.311, 0.092417
967.312, 0.0893722
968.312, 0.0865916
969.313, 0.0839778
970.314, 0.0815092
971.314, 0.0792531
972.315, 0.0772987
973.316, 0.0756717
974.316, 0.0743057
975.317, 0.0730959
976.318, 0.0719856
977.318, 0.0710097
978.319, 0.0702585
979.32, 0.0697926
980.32, 0.0695857
981.321, 0.069542
982.322, 0.0695733
983.322, 0.0696687
984.323, 0.0698977
985.324, 0.0703449
986.324, 0.0710331
987.325, 0.0718987
988.326, 0.0728402
989.326, 0.0737971
990.327, 0.0747945
991.328, 0.0759158
992.328, 0.0772286
993.329, 0.0787234
994.33, 0.0803178
995.33, 0.0819182
996.331, 0.0834918
997.332, 0.0850874
998.332, 0.0867911
999.333, 0.0886532
1000.33, 0.0906441
1001.33, 0.0926751
1002.33, 0.0946661
1003.34, 0.0966049
1004.34, 0.0985536
1005.34, 0.100597
1006.34, 0.102772
1007.34, 0.10504
1008.34, 0.107313
1009.34, 0.109521
1010.34, 0.111665
1011.34, 0.113812
1012.34, 0.116042
1013.34, 0.118388
1014.34, 0.120809
1015.34, 0.12322
1016.34, 0.125555
1017.34, 0.127819
1018.35, 0.130077
1019.35, 0.132409
1020.35, 0.134847
1021.35, 0.137352
1022.35, 0.139845
1023.35, 0.14226
1024.35, 0.144596
1025.35, 0.146913
1026.35, 0.149288
1027.35, 0.151762
1028.35, 0.154304
1029.35, 0.156839
1030.35, 0.159299
1031.35, 0.161672
1032.35, 0.164006
1033.36, 0.166378
1034.36, 0.168837
1035.36, 0.171369
1036.36, 0.173909
1037.36, 0.176384
1038.36, 0.178765
1039.36, 0.181085
1040.36, 0.183416
1041.36, 0.185818
1042.36, 0.188299
1043.36, 0.190808
1044.36, 0.193272
1045.36, 0.195646
1046.36, 0.197937
1047.36, 0.200208
1048.37, 0.202525
1049.37, 0.204921
1050.37, 0.20737
1051.37, 0.209806
1052.37, 0.212166
1053.37, 0.214434
1054.37, 0.216647
1055.37, 0.218873
1056.37, 0.221166
1057.37, 0.22353
1058.37, 0.225918
1059.37, 0.228265
1060.37, 0.230524
1061.37, 0.232703
1062.37, 0.234853
1063.38, 0.237039
1064.38, 0.239299
1065.38, 0.241617
1066.38, 0.243937
1067.38, 0.246199
1068.38, 0.248373
1069.38, 0.250481
1070.38, 0.252578
1071.38, 0.254725
1072.38, 0.256943
1073.38, 0.259209
1074.38, 0.261464
1075.38, 0.263652
1076.38, 0.265755
1077.38, 0.2678
1078.39, 0.269847
1079.39, 0.271946
1080.39, 0.274115
1081.39, 0.276324
1082.39, 0.278515
1083.39, 0.280638
1084.39, 0.282677
1085.39, 0.284664
1086.39, 0.286653
1087.39, 0.288694
1088.39, 0.290801
1089.39, 0.292946
1090.39, 0.295075
1091.39, 0.297137
1092.39, 0.299117
1093.4, 0.301042
1094.4, 0.302964
1095.4, 0.304933
1096.4, 0.306966
1097.4, 0.30904
1098.4, 0.311103
1099.4, 0.313107
1100.4, 0.315031
1101.4, 0.316892
1102.4, 0.31874
1103.4, 0.320623
1104.4, 0.322568
1105.4, 0.324559
1106.4, 0.326553
1107.4, 0.328499
1108.41, 0.330368
1109.41, 0.332166
1110.41, 0.333934
1111.41, 0.335721
1112.41, 0.337561
1113.41, 0.339455
1114.41, 0.341368
1115.41, 0.34325
1116.41, 0.345064
1117.41, 0.346801
1118.41, 0.348487
1119.41, 0.350169
1120.41, 0.351889
1121.41, 0.353663
1122.41, 0.355473
1123.42, 0.357277
1124.42, 0.359028
1125.42, 0.360702
1126.42, 0.362307
1127.42, 0.363878
1128.42, 0.365461
1129.42, 0.367089
1130.42, 0.368762
1131.42, 0.370454
1132.42, 0.372118
1133.42, 0.373718
1134.42, 0.375237
1135.42, 0.376694
1136.42, 0.378127
1137.42, 0.379579
1138.43, 0.381072
1139.43, 0.382601
1140.43, 0.384132
1141.43, 0.385623
1142.43, 0.38704
1143.43, 0.388375
1144.43, 0.389648
1145.43, 0.3909
1146.43, 0.392167
1147.43, 0.393469
1148.43, 0.394795
1149.43, 0.396113
1150.43, 0.397381
1151.43, 0.398568
1152.43, 0.399669
1153.44, 0.400703
1154.44, 0.401708
1155.44, 0.402718
1156.44, 0.403753
1157.44, 0.404802
1158.44, 0.405835
1159.44, 0.406812
1160.44, 0.407701
1161.44, 0.408496
1162.44, 0.409212
1163.44, 0.409884
1164.44, 0.410545
1165.44, 0.411216
1166.44, 0.411892
1167.44, 0.412546
1168.45, 0.413139
1169.45, 0.41364
1170.45, 0.414036
1171.45, 0.414335
1172.45, 0.414568
1173.45, 0.414768
1174.45, 0.414959
1175.45, 0.415142
1176.45, 0.415299
1177.45, 0.415394
1178.45, 0.415395
1179.45, 0.415279
1180.45, 0.415048
1181.45, 0.414725
1182.45, 0.414339
1183.46, 0.413919
1184.46, 0.413477
1185.46, 0.413004
1186.46, 0.412471
1187.46, 0.411845
1188.46, 0.411099
1189.46, 0.410223
1190.46, 0.409228
1191.46, 0.40814
1192.46, 0.40699
1193.46, 0.405797
1194.46, 0.404567
1195.46, 0.403284
1196.46, 0.401918
1197.46, 0.400439
1198.47, 0.398828
1199.47, 0.397082
1200.47, 0.395218
1201.47, 0.393263
1202.47, 0.391246
1203.47, 0.389185
1204.47, 0.387078
1205.47, 0.38491
1206.47, 0.382653
1207.47, 0.380282
1208.47, 0.377783
1209.47, 0.375158
1210.47, 0.372427
1211.47, 0.369618
1212.47, 0.366759
1213.48, 0.363867
1214.48, 0.360942
