500, 0.60736
501.001, 0.608176
502.001, 0.608939
503.002, 0.609892
504.003, 0.610628
505.003, 0.611615
506.004, 0.612428
507.005, 0.61336
508.005, 0.614299
509.006, 0.615159
510.007, 0.6162
511.007, 0.617034
512.008, 0.618111
513.009, 0.61898
514.009, 0.620033
515.01, 0.620981
516.011, 0.621979
517.011, 0.623012
518.012, 0.623958
519.013, 0.625058
520.013, 0.625975
521.014, 0.62711
522.015, 0.628025
523.015, 0.629167
524.016, 0.630102
525.017, 0.631229
526.017, 0.632198
527.018, 0.6333
528.019, 0.634306
529.019, 0.635379
530.02, 0.636421
531.021, 0.637468
532.021, 0.63854
533.022, 0.639566
534.023, 0.640663
535.023, 0.641675
536.024, 0.64279
537.025, 0.643793
538.025, 0.644923
539.026, 0.645922
540.027, 0.647064
541.027, 0.648067
542.028, 0.649217
543.029, 0.650231
544.029, 0.65139
545.03, 0.652423
546.031, 0.653591
547.031, 0.654657
548.032, 0.655833
549.033, 0.656952
550.033, 0.658139
551.034, 0.659339
552.035, 0.660545
553.035, 0.66187
554.036, 0.663116
555.037, 0.664642
556.037, 0.66599
557.038, 0.667869
558.039, 0.669542
559.039, 0.672273
560.04, 0.676295
561.041, 0.679161
562.041, 0.679314
563.042, 0.680524
564.043, 0.681827
565.043, 0.68263
566.044, 0.684332
567.045, 0.685533
568.045, 0.686784
569.046, 0.688075
570.047, 0.689836
571.047, 0.691393
572.048, 0.692773
573.049, 0.69425
574.049, 0.695797
575.05, 0.697618
576.051, 0.699278
577.051, 0.700977
578.052, 0.70259
579.053, 0.704307
580.053, 0.706146
581.054, 0.707983
582.055, 0.709887
583.055, 0.711591
584.056, 0.712744
585.057, 0.711832
586.057, 0.710025
587.058, 0.710093
588.059, 0.710048
589.059, 0.709766
590.06, 0.709746
591.061, 0.708365
592.061, 0.707926
593.062, 0.707278
594.063, 0.705539
595.063, 0.705079
596.064, 0.70386
597.065, 0.702664
598.065, 0.702237
599.066, 0.701311
600.067, 0.701345
601.067, 0.701434
602.068, 0.701798
603.069, 0.703108
604.069, 0.7042
605.07, 0.705964
606.071, 0.707909
607.071, 0.70984
608.072, 0.71229
609.073, 0.714362
610.073, 0.71669
611.074, 0.719089
612.075, 0.721188
613.075, 0.723625
614.076, 0.725736
615.077, 0.727834
616.077, 0.730074
617.078, 0.731943
618.079, 0.734034
619.079, 0.73599
620.08, 0.737754
621.081, 0.739749
622.081, 0.741448
623.082, 0.743198
624.083, 0.745034
625.083, 0.746586
626.084, 0.748332
627.085, 0.749977
628.085, 0.751458
629.086, 0.753145
630.087, 0.754609
631.087, 0.756067
632.088, 0.757655
633.089, 0.758993
634.089, 0.760449
635.09, 0.761924
636.091, 0.76319
637.091, 0.764634
638.092, 0.765993
639.093, 0.767218
640.093, 0.768626
641.094, 0.769876
642.095, 0.771072
643.095, 0.772423
644.096, 0.773578
645.097, 0.77475
646.097, 0.776034
647.098, 0.777113
648.099, 0.77826
649.099, 0.779477
650.1, 0.780495
651.101, 0.781616
652.101, 0.78277
653.102, 0.783737
654.103, 0.784827
655.103, 0.785921
656.104, 0.786841
657.105, 0.787893
658.105, 0.788932
659.106, 0.789805
660.107, 0.790813
661.107, 0.791799
662.108, 0.792625
663.109, 0.793585
664.109, 0.794526
665.11, 0.795306
666.111, 0.796213
667.111, 0.797115
668.112, 0.797852
669.113, 0.798705
670.113, 0.799574
671.114, 0.800271
672.115, 0.801066
673.115, 0.801905
674.116, 0.802568
675.117, 0.8033
676.117, 0.80411
677.118, 0.804745
678.119, 0.805409
679.119, 0.806184
680.12, 0.8068
681.121, 0.807394
682.121, 0.808125
683.122, 0.808731
684.123, 0.809258
685.123, 0.809931
686.124, 0.810535
687.125, 0.811005
688.125, 0.811605
689.126, 0.812209
690.127, 0.812643
691.127, 0.813156
692.128, 0.813749
693.129, 0.814173
694.129, 0.814595
695.13, 0.815153
696.131, 0.815591
697.131, 0.815935
698.132, 0.816426
699.133, 0.816885
700.133, 0.817184
701.134, 0.817577
702.135, 0.818043
703.135, 0.818339
704.136, 0.818626
705.137, 0.819056
706.137, 0.819384
707.138, 0.81959
708.139, 0.819932
709.139, 0.820293
710.14, 0.820476
711.141, 0.820696
712.141, 0.821046
713.142, 0.821264
714.143, 0.821382
715.143, 0.821649
716.144, 0.821918
717.145, 0.822006
718.145, 0.82214
719.146, 0.822407
720.147, 0.822543
721.147, 0.822568
722.148, 0.82274
723.149, 0.822939
724.149, 0.82295
725.15, 0.822975
726.151, 0.823155
727.151, 0.82324
728.152, 0.823172
729.153, 0.823223
730.153, 0.823363
731.154, 0.823327
732.155, 0.823227
733.155, 0.823296
734.156, 0.823355
735.157, 0.823218
736.157, 0.823117
737.158, 0.823178
738.159, 0.823136
739.159, 0.822928
740.16, 0.822836
741.161, 0.82286
742.161, 0.822715
743.162, 0.822461
744.163, 0.822373
745.163, 0.822339
746.164, 0.822101
747.165, 0.821818
748.165, 0.821722
749.166, 0.82162
750.167, 0.821302
751.167, 0.820996
752.168, 0.82088
753.169, 0.820707
754.169, 0.820321
755.17, 0.81999
756.171, 0.819846
757.171, 0.819606
758.172, 0.819159
759.173, 0.818799
760.173, 0.81862
761.174, 0.818319
762.175, 0.817815
763.175, 0.817417
764.176, 0.8172
765.177, 0.816847
766.177, 0.816288
767.178, 0.815842
768.179, 0.815584
769.179, 0.815188
770.18, 0.814574
771.181, 0.814067
772.181, 0.813765
773.182, 0.813336
774.183, 0.812667
775.183, 0.812087
776.184, 0.811733
777.185, 0.811281
778.185, 0.810562
779.186, 0.809892
